record_id,node_key,display_name,stack_bb,spot_family,hero_position,villain_position,player_count,action_context,allowed_actions,app_status,source_class,source_confidence,range_cells_status,import_decision,trainer_default_visibility,owner_review_required,approval_target,population_strategy_summary,latest_research_alignment,simplified_live_rule,risk_flags,review_hand_focus,codex_action,codex_notes,field_integrity,created_date
RFI_40BB_UTG_VS_NONE_rfi_40bb_utg_bba,rfi_40bb_utg_bba,rfi 40bb UTG vs NONE,40,rfi,UTG,NONE,BBA_APP_DEFAULT,MTT_BBA_PRE_FLOP,"RAISE,FOLD",approved,approved_snapshot,HIGH_APPROVED,FULL_169_RESOLVED,KEEP_APPROVED_DO_NOT_OVERWRITE,VISIBLE_DEFAULT,FALSE,OWNER_ALREADY_APPROVED,"Approved RFI baseline for UTG at 40bb. Use as main default. Live exploit: open disciplined early, steal wider late when blinds overfold.","2025-2026 public sources support a GTO-baseline-plus-live-population approach: late-position steal pressure when blinds overfold, tighter responses to large opens and value-heavy 3-bets, linear/value-heavy 3-betting versus under-4-betting pools, and avoiding static push/fold-only assumptions.",Open chart baseline; widen CO/BTN/SB only when blinds are tight; tighten early if table is 3-bet active.,NO_MAJOR_CURRENT_FLAG,"AJo,KQo,A5s,A9s,K9s,77,55,ATo,KJo,QJs",CREATE_OR_UPDATE_REVIEW_SCENARIO_RECORD_ONLY,SAFE_TO_SHOW_FOR_REVIEW_WITH_STATUS_LABELS,NO_EMPTY_FIELDS_USE_NOT_APPLICABLE_OR_SOURCE_REQUIRED,2026-05-20
RFI_40BB_HJ_VS_NONE_rfi_40bb_hj_bba,rfi_40bb_hj_bba,rfi 40bb HJ vs NONE,40,rfi,HJ,NONE,BBA_APP_DEFAULT,MTT_BBA_PRE_FLOP,"RAISE,FOLD",approved,approved_snapshot,HIGH_APPROVED,FULL_169_RESOLVED,KEEP_APPROVED_DO_NOT_OVERWRITE,VISIBLE_DEFAULT,FALSE,OWNER_ALREADY_APPROVED,"Approved RFI baseline for HJ at 40bb. Use as main default. Live exploit: open disciplined early, steal wider late when blinds overfold.","2025-2026 public sources support a GTO-baseline-plus-live-population approach: late-position steal pressure when blinds overfold, tighter responses to large opens and value-heavy 3-bets, linear/value-heavy 3-betting versus under-4-betting pools, and avoiding static push/fold-only assumptions.",Open chart baseline; widen CO/BTN/SB only when blinds are tight; tighten early if table is 3-bet active.,NO_MAJOR_CURRENT_FLAG,"AJo,KQo,A5s,A9s,K9s,77,55,ATo,KJo,QJs",CREATE_OR_UPDATE_REVIEW_SCENARIO_RECORD_ONLY,SAFE_TO_SHOW_FOR_REVIEW_WITH_STATUS_LABELS,NO_EMPTY_FIELDS_USE_NOT_APPLICABLE_OR_SOURCE_REQUIRED,2026-05-20
RFI_40BB_CO_VS_NONE_rfi_40bb_co_bba,rfi_40bb_co_bba,rfi 40bb CO vs NONE,40,rfi,CO,NONE,BBA_APP_DEFAULT,MTT_BBA_PRE_FLOP,"RAISE,FOLD",approved,approved_snapshot,HIGH_APPROVED,FULL_169_RESOLVED,KEEP_APPROVED_DO_NOT_OVERWRITE,VISIBLE_DEFAULT,FALSE,OWNER_ALREADY_APPROVED,"Approved RFI baseline for CO at 40bb. Use as main default. Live exploit: open disciplined early, steal wider late when blinds overfold.","2025-2026 public sources support a GTO-baseline-plus-live-population approach: late-position steal pressure when blinds overfold, tighter responses to large opens and value-heavy 3-bets, linear/value-heavy 3-betting versus under-4-betting pools, and avoiding static push/fold-only assumptions.",Open chart baseline; widen CO/BTN/SB only when blinds are tight; tighten early if table is 3-bet active.,NO_MAJOR_CURRENT_FLAG,"AJo,KQo,A5s,A9s,K9s,77,55,ATo,KJo,QJs",CREATE_OR_UPDATE_REVIEW_SCENARIO_RECORD_ONLY,SAFE_TO_SHOW_FOR_REVIEW_WITH_STATUS_LABELS,NO_EMPTY_FIELDS_USE_NOT_APPLICABLE_OR_SOURCE_REQUIRED,2026-05-20
RFI_40BB_BTN_VS_NONE_rfi_40bb_btn_bba,rfi_40bb_btn_bba,rfi 40bb BTN vs NONE,40,rfi,BTN,NONE,BBA_APP_DEFAULT,MTT_BBA_PRE_FLOP,"RAISE,FOLD",approved,approved_snapshot,HIGH_APPROVED,FULL_169_RESOLVED,KEEP_APPROVED_DO_NOT_OVERWRITE,VISIBLE_DEFAULT,FALSE,OWNER_ALREADY_APPROVED,"Approved RFI baseline for BTN at 40bb. Use as main default. Live exploit: open disciplined early, steal wider late when blinds overfold.","2025-2026 public sources support a GTO-baseline-plus-live-population approach: late-position steal pressure when blinds overfold, tighter responses to large opens and value-heavy 3-bets, linear/value-heavy 3-betting versus under-4-betting pools, and avoiding static push/fold-only assumptions.",Open chart baseline; widen CO/BTN/SB only when blinds are tight; tighten early if table is 3-bet active.,NO_MAJOR_CURRENT_FLAG,"AJo,KQo,A5s,A9s,K9s,77,55,ATo,KJo,QJs",CREATE_OR_UPDATE_REVIEW_SCENARIO_RECORD_ONLY,SAFE_TO_SHOW_FOR_REVIEW_WITH_STATUS_LABELS,NO_EMPTY_FIELDS_USE_NOT_APPLICABLE_OR_SOURCE_REQUIRED,2026-05-20
RFI_40BB_SB_VS_NONE_rfi_40bb_sb_bba,rfi_40bb_sb_bba,rfi 40bb SB vs NONE,40,rfi,SB,NONE,BBA_APP_DEFAULT,MTT_BBA_PRE_FLOP,"RAISE,FOLD",approved,approved_snapshot,HIGH_APPROVED,FULL_169_RESOLVED,KEEP_APPROVED_DO_NOT_OVERWRITE,VISIBLE_DEFAULT,FALSE,OWNER_ALREADY_APPROVED,"Approved RFI baseline for SB at 40bb. Use as main default. Live exploit: open disciplined early, steal wider late when blinds overfold.","2025-2026 public sources support a GTO-baseline-plus-live-population approach: late-position steal pressure when blinds overfold, tighter responses to large opens and value-heavy 3-bets, linear/value-heavy 3-betting versus under-4-betting pools, and avoiding static push/fold-only assumptions.",Open chart baseline; widen CO/BTN/SB only when blinds are tight; tighten early if table is 3-bet active.,NO_MAJOR_CURRENT_FLAG,"AJo,KQo,A5s,A9s,K9s,77,55,ATo,KJo,QJs",CREATE_OR_UPDATE_REVIEW_SCENARIO_RECORD_ONLY,SAFE_TO_SHOW_FOR_REVIEW_WITH_STATUS_LABELS,NO_EMPTY_FIELDS_USE_NOT_APPLICABLE_OR_SOURCE_REQUIRED,2026-05-20
RFI_70BB_UTG_VS_NONE_rfi_70bb_utg_bba,rfi_70bb_utg_bba,rfi 70bb UTG vs NONE,70,rfi,UTG,NONE,BBA_APP_DEFAULT,MTT_BBA_PRE_FLOP,"RAISE,FOLD",approved,approved_snapshot,HIGH_APPROVED,FULL_169_RESOLVED,KEEP_APPROVED_DO_NOT_OVERWRITE,VISIBLE_DEFAULT,FALSE,OWNER_ALREADY_APPROVED,"Approved RFI baseline for UTG at 70bb. Use as main default. Live exploit: open disciplined early, steal wider late when blinds overfold.","2025-2026 public sources support a GTO-baseline-plus-live-population approach: late-position steal pressure when blinds overfold, tighter responses to large opens and value-heavy 3-bets, linear/value-heavy 3-betting versus under-4-betting pools, and avoiding static push/fold-only assumptions.",Open chart baseline; widen CO/BTN/SB only when blinds are tight; tighten early if table is 3-bet active.,NO_MAJOR_CURRENT_FLAG,"AJo,KQo,A5s,A9s,K9s,77,55,ATo,KJo,QJs",CREATE_OR_UPDATE_REVIEW_SCENARIO_RECORD_ONLY,SAFE_TO_SHOW_FOR_REVIEW_WITH_STATUS_LABELS,NO_EMPTY_FIELDS_USE_NOT_APPLICABLE_OR_SOURCE_REQUIRED,2026-05-20
RFI_70BB_HJ_VS_NONE_rfi_70bb_hj_bba,rfi_70bb_hj_bba,rfi 70bb HJ vs NONE,70,rfi,HJ,NONE,BBA_APP_DEFAULT,MTT_BBA_PRE_FLOP,"RAISE,FOLD",approved,approved_snapshot,HIGH_APPROVED,FULL_169_RESOLVED,KEEP_APPROVED_DO_NOT_OVERWRITE,VISIBLE_DEFAULT,FALSE,OWNER_ALREADY_APPROVED,"Approved RFI baseline for HJ at 70bb. Use as main default. Live exploit: open disciplined early, steal wider late when blinds overfold.","2025-2026 public sources support a GTO-baseline-plus-live-population approach: late-position steal pressure when blinds overfold, tighter responses to large opens and value-heavy 3-bets, linear/value-heavy 3-betting versus under-4-betting pools, and avoiding static push/fold-only assumptions.",Open chart baseline; widen CO/BTN/SB only when blinds are tight; tighten early if table is 3-bet active.,NO_MAJOR_CURRENT_FLAG,"AJo,KQo,A5s,A9s,K9s,77,55,ATo,KJo,QJs",CREATE_OR_UPDATE_REVIEW_SCENARIO_RECORD_ONLY,SAFE_TO_SHOW_FOR_REVIEW_WITH_STATUS_LABELS,NO_EMPTY_FIELDS_USE_NOT_APPLICABLE_OR_SOURCE_REQUIRED,2026-05-20
RFI_70BB_CO_VS_NONE_rfi_70bb_co_bba,rfi_70bb_co_bba,rfi 70bb CO vs NONE,70,rfi,CO,NONE,BBA_APP_DEFAULT,MTT_BBA_PRE_FLOP,"RAISE,FOLD",approved,approved_snapshot,HIGH_APPROVED,FULL_169_RESOLVED,KEEP_APPROVED_DO_NOT_OVERWRITE,VISIBLE_DEFAULT,FALSE,OWNER_ALREADY_APPROVED,"Approved RFI baseline for CO at 70bb. Use as main default. Live exploit: open disciplined early, steal wider late when blinds overfold.","2025-2026 public sources support a GTO-baseline-plus-live-population approach: late-position steal pressure when blinds overfold, tighter responses to large opens and value-heavy 3-bets, linear/value-heavy 3-betting versus under-4-betting pools, and avoiding static push/fold-only assumptions.",Open chart baseline; widen CO/BTN/SB only when blinds are tight; tighten early if table is 3-bet active.,NO_MAJOR_CURRENT_FLAG,"AJo,KQo,A5s,A9s,K9s,77,55,ATo,KJo,QJs",CREATE_OR_UPDATE_REVIEW_SCENARIO_RECORD_ONLY,SAFE_TO_SHOW_FOR_REVIEW_WITH_STATUS_LABELS,NO_EMPTY_FIELDS_USE_NOT_APPLICABLE_OR_SOURCE_REQUIRED,2026-05-20
RFI_70BB_BTN_VS_NONE_rfi_70bb_btn_bba,rfi_70bb_btn_bba,rfi 70bb BTN vs NONE,70,rfi,BTN,NONE,BBA_APP_DEFAULT,MTT_BBA_PRE_FLOP,"RAISE,FOLD",approved,approved_snapshot,HIGH_APPROVED,FULL_169_RESOLVED,KEEP_APPROVED_DO_NOT_OVERWRITE,VISIBLE_DEFAULT,FALSE,OWNER_ALREADY_APPROVED,"Approved RFI baseline for BTN at 70bb. Use as main default. Live exploit: open disciplined early, steal wider late when blinds overfold.","2025-2026 public sources support a GTO-baseline-plus-live-population approach: late-position steal pressure when blinds overfold, tighter responses to large opens and value-heavy 3-bets, linear/value-heavy 3-betting versus under-4-betting pools, and avoiding static push/fold-only assumptions.",Open chart baseline; widen CO/BTN/SB only when blinds are tight; tighten early if table is 3-bet active.,NO_MAJOR_CURRENT_FLAG,"AJo,KQo,A5s,A9s,K9s,77,55,ATo,KJo,QJs",CREATE_OR_UPDATE_REVIEW_SCENARIO_RECORD_ONLY,SAFE_TO_SHOW_FOR_REVIEW_WITH_STATUS_LABELS,NO_EMPTY_FIELDS_USE_NOT_APPLICABLE_OR_SOURCE_REQUIRED,2026-05-20
RFI_70BB_SB_VS_NONE_rfi_70bb_sb_bba,rfi_70bb_sb_bba,rfi 70bb SB vs NONE,70,rfi,SB,NONE,BBA_APP_DEFAULT,MTT_BBA_PRE_FLOP,"RAISE,FOLD",approved,approved_snapshot,HIGH_APPROVED,FULL_169_RESOLVED,KEEP_APPROVED_DO_NOT_OVERWRITE,VISIBLE_DEFAULT,FALSE,OWNER_ALREADY_APPROVED,"Approved RFI baseline for SB at 70bb. Use as main default. Live exploit: open disciplined early, steal wider late when blinds overfold.","2025-2026 public sources support a GTO-baseline-plus-live-population approach: late-position steal pressure when blinds overfold, tighter responses to large opens and value-heavy 3-bets, linear/value-heavy 3-betting versus under-4-betting pools, and avoiding static push/fold-only assumptions.",Open chart baseline; widen CO/BTN/SB only when blinds are tight; tighten early if table is 3-bet active.,NO_MAJOR_CURRENT_FLAG,"AJo,KQo,A5s,A9s,K9s,77,55,ATo,KJo,QJs",CREATE_OR_UPDATE_REVIEW_SCENARIO_RECORD_ONLY,SAFE_TO_SHOW_FOR_REVIEW_WITH_STATUS_LABELS,NO_EMPTY_FIELDS_USE_NOT_APPLICABLE_OR_SOURCE_REQUIRED,2026-05-20
FACING_OPEN_EARLY_15BB_HJ_VS_UTG_facing_open_early_15bb_hj_vs_utg_bba,facing_open_early_15bb_hj_vs_utg_bba,facing_open_early 15bb HJ vs UTG,15,facing_open_early,HJ,UTG,BBA_APP_DEFAULT,MTT_BBA_PRE_FLOP,"JAM,CALL,FOLD",seed,typed_seed,MEDIUM_SEED,FULL_169_RESOLVED,KEEP_AS_SEED_REVIEW_BEFORE_APPROVAL,VISIBLE_DEFAULT,TRUE,REVIEWED_THEN_APPROVE_OPTIONAL,Seed response versus UTG open at 15bb. Population note: live UTG ranges are often tight/value-heavy.,"2025-2026 public sources support a GTO-baseline-plus-live-population approach: late-position steal pressure when blinds overfold, tighter responses to large opens and value-heavy 3-bets, linear/value-heavy 3-betting versus under-4-betting pools, and avoiding static push/fold-only assumptions.",Defend tightly versus UTG; prefer value-heavy 3-bets/jams; avoid dominated offsuit flats.,EARLY_POSITION_OPEN_CAN_BE_TOO_STRONG_IN_LIVE_FIELDS,"AJo,KQo,A5s,A9s,K9s,77,55,ATo,KJo,QJs",CREATE_OR_UPDATE_REVIEW_SCENARIO_RECORD_ONLY,SAFE_TO_SHOW_FOR_REVIEW_WITH_STATUS_LABELS,NO_EMPTY_FIELDS_USE_NOT_APPLICABLE_OR_SOURCE_REQUIRED,2026-05-20
FACING_OPEN_EARLY_15BB_CO_VS_UTG_facing_open_early_15bb_co_vs_utg_bba,facing_open_early_15bb_co_vs_utg_bba,facing_open_early 15bb CO vs UTG,15,facing_open_early,CO,UTG,BBA_APP_DEFAULT,MTT_BBA_PRE_FLOP,"JAM,CALL,FOLD",seed,typed_seed,MEDIUM_SEED,FULL_169_RESOLVED,KEEP_AS_SEED_REVIEW_BEFORE_APPROVAL,VISIBLE_DEFAULT,TRUE,REVIEWED_THEN_APPROVE_OPTIONAL,Seed response versus UTG open at 15bb. Population note: live UTG ranges are often tight/value-heavy.,"2025-2026 public sources support a GTO-baseline-plus-live-population approach: late-position steal pressure when blinds overfold, tighter responses to large opens and value-heavy 3-bets, linear/value-heavy 3-betting versus under-4-betting pools, and avoiding static push/fold-only assumptions.",Defend tightly versus UTG; prefer value-heavy 3-bets/jams; avoid dominated offsuit flats.,EARLY_POSITION_OPEN_CAN_BE_TOO_STRONG_IN_LIVE_FIELDS,"AJo,KQo,A5s,A9s,K9s,77,55,ATo,KJo,QJs",CREATE_OR_UPDATE_REVIEW_SCENARIO_RECORD_ONLY,SAFE_TO_SHOW_FOR_REVIEW_WITH_STATUS_LABELS,NO_EMPTY_FIELDS_USE_NOT_APPLICABLE_OR_SOURCE_REQUIRED,2026-05-20
